Time,Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh),Load (kW)
2017-03-18 00:00:00,1012.48,2.125,79.33333333,16.76438622,285.25,6.25375,1031471.628
2017-03-18 01:00:00,1011.61875,0,82.16666667,15.72938622,285,9.205,1007205.578
2017-03-18 02:00:00,1010.72,2.125,81.66666667,15.81688622,316,11.28375,986108.4007
2017-03-18 03:00:00,1011.37625,17.125,82.25,15.91938622,327,7.16875,970760.9669
2017-03-18 04:00:00,1011.5,18.625,82.33333333,15.76938622,282.25,0.78,962258.365
2017-03-18 05:00:00,1011.03875,21.25,80.08333333,15.71188622,162.75,0.45125,963847.929
2017-03-18 06:00:00,1011.445,40.875,79.16666667,15.37438622,260.75,3.185,971662.2228
2017-03-18 07:00:00,1011.5,44,81.41666667,13.50438622,231.75,3.985,998667.4643
2017-03-18 08:00:00,1011.86875,44,77.41666667,15.83188622,268.375,5.28125,1060601.557
2017-03-18 09:00:00,1013.41,44,74.33333333,19.36938622,289.375,7.13375,1141662.51
2017-03-18 10:00:00,1013.54,44,74.33333333,21.59438622,285.625,14.72375,1195234.881
2017-03-18 11:00:00,1013.08625,44,76.25,22.38688622,279.375,16.63125,1208175.003
2017-03-18 12:00:00,1013.58875,44,77.91666667,21.39188622,270.75,13.36375,1216409.319
2017-03-18 13:00:00,1013.695,44,76,22.12938622,282,16.0625,1211771.529
2017-03-18 14:00:00,1013.695,44,78.16666667,20.23188622,275.5,16.92375,1216184.229
2017-03-18 15:00:00,1013.695,44,77.58333333,20.46688622,291.875,19.02125,1210429.867
2017-03-18 16:00:00,1013.695,44,77.66666667,19.83688622,289,19.22875,1200877.598
2017-03-18 17:00:00,1011.4275,44,79.91666667,19.56188622,272.25,17.79125,1169031.238
2017-03-18 18:00:00,1010.19875,44,81.66666667,18.61938622,265.75,14.075,1150271.29
2017-03-18 19:00:00,1010.315,44,82.58333333,17.84938622,270,14.98375,1126710.733
2017-03-18 20:00:00,1010.3175,44,83.25,17.69938622,277.875,9.07875,1109004.815
2017-03-18 21:00:00,1011.50375,44,86.41666667,17.22688622,277.875,10.22375,1095988.835
